country,year,debt_to_gdp,gdp_growth,inflation,unemployment
TUR,2015,29.145145266046,5.80557386628684,7.67085364845885,10.304
TUR,2016,30.075201418508,3.32366508200445,7.7751341532833,10.899
TUR,2017,29.5734179673603,7.82585730002594,11.1443110840764,10.919
TUR,2018,29.3999927208091,3.46815306092219,16.3324638988929,10.956
TUR,2019,33.4600744570718,1.30162365464503,15.1768215720022,13.73
TUR,2020,41.0396523893444,1.80306247087255,12.2789574462574,13.148
TUR,2021,41.6375124693568,11.811094450607,19.5964926913324,11.969
TUR,2022,35.3300843740665,5.44122511322401,72.3088359891207,10.465
TUR,2023,33.2548360254558,5.04512369812289,53.8594087593315,9.388
TUR,2024,26.6192344930079,3.3276230893799,58.5064507300342,8.8
USA,2015,96.1410808045622,2.94555045227337,0.118627135552451,5.28
USA,2016,98.1169229551873,1.81945147909089,1.26158320570536,4.869
USA,2017,97.2074691432871,2.45762230126449,2.13011000365961,4.355
USA,2018,98.62934291533,2.96650506701943,2.44258329692817,3.896
USA,2019,100.234364169849,2.58382533052225,1.81221007526021,3.669
USA,2020,124.509268439559,-2.081375977796,1.23358439630629,8.055
USA,2021,118.284809538371,6.15202247867526,4.69785886363742,5.349
USA,2022,112.71753248772,2.52421385073222,8.00279982052121,3.65
USA,2023,114.73462594651,2.93436322440155,4.11633838374488,3.638
USA,2024,115.768352618316,2.79318715363841,2.94952520485207,4.022
ZAF,2015,52.6511572360833,1.32186223678229,4.51869094892506,25.149
ZAF,2016,53.7387913884354,0.664552307858116,6.60290842394872,26.536
ZAF,2017,56.2597208390879,1.15794695181735,5.18618655524149,27.035
ZAF,2018,59.1023114070608,1.55678384721676,4.50987264867388,26.906
ZAF,2019,64.5892781351104,0.25993557687633,4.10285075461156,28.468
ZAF,2020,75.7255090793216,-6.1689177146757,3.23238831615113,29.217
ZAF,2021,74.0826080051444,4.85864865060148,4.61874544887136,34.007
ZAF,2022,76.2333180266081,2.05813661692193,7.03987272546482,33.268
ZAF,2023,79.4140619824567,0.80610455095804,6.0752438457966,32.098
ZAF,2024,82.7627080034486,0.534843531905139,4.36115246518962,32.279
